Prospect	Way Fengshui Group	3	8	T1	Professional services	Largest SG fengshui firm since 1984; 17 employees; consultancy + lifestyle retail + academy; ~100 corporate clients/yr; ISO 9001	N
Existing	Stewart Engineering Works (S) Pte Ltd	3	3	T1	Industrial trade	RocketReach confirmed 2025; marine/oil & gas diesel engine repair; 5 employees; roots since 1970	Y
Prospect	Three Star Brand	2	8	T1	Consumer retail	Medicated oil + aromatherapy brand since 1937; distributed to SG households; 15700+ Facebook followers	Y
Prospect	Vintage Management Pte Ltd	2	8	T1	Professional services	Employment agency; Republic Plaza address; incorporated 2007; 18 yrs operating	N
Prospect	Bencoolen Enterprises Pte Ltd	2	6	T1	Food & beverage	Ice cream franchise/wholesale (Andersen's of Denmark); 5 employees; incorporated 1992; paid up $300K	Y
Prospect	Yikowei Pte Ltd	2	6	T1	Food & beverage	Traditional SG snacks (pineapple tarts/popiah) since 1983; retail at Takashimaya and Changi Airport T3; multiple national awards; Harmony Cookies sub-brand	N
Prospect	Mascot Enterprise	1	5	T1	Sports & leisure	Entertainment/events; 20 employees (RocketReach)	N
Prospect	Recruit Advance	1	5	T1	Professional services	SG recruitment firm; no public data	N
Prospect	Starbalm Sport Care	1	5	T1	Consumer retail	Sports care product distributor for SG market; regional brand	Y
Prospect	Accretive Consultancy Pte Ltd	1	3	T2	Professional services	B2B consultancy; small team format; no public data	N
Prospect	Boons' Carwash	1	3	T2	Other services	Carwash operator; small/medium format; no public data	N
Existing (Dormant)	See Hai Tat Medical Hall	1	3	T2	Consumer retail	TCM retail; heritage SG brand; no public revenue data	N
Prospect	Trident Strategy	1	3	T2	Professional services	Strategy consultancy; likely boutique; no public data	N
Prospect	Tour the Game	0.5	3	T2	Sports & leisure	Sports experience/golf tourism operator; no confirmed public data	N
Prospect	101 Club	0.5	2	T2	Sports & leisure	Private SG business community group; no commercial revenue entity found	N
Prospect	ClubFACE	0.5	2	T2	Sports & leisure	Sports/fitness club format; no public data	N
Prospect	MadeToMeasure	0.5	2	T2	Consumer retail	Bespoke tailoring/fashion; no public data	N
Prospect	PA-TATA-TATA	0.5	2	T2	Professional services	Creative/digital marketing agency; branding/social/influencer/e-commerce (ZoomInfo confirmed)	N
Prospect	Sky Park Padel	0.5	2	T2	Sports & leisure	Padel sports club; nascent SG market	N
Prospect	Spatial Format	0.5	2	T2	Built environment	Design/architecture/interior firm; no public data	N
Prospect	AMK Nonya Kueh Pte Ltd	0.5	1.5	T2	Food & beverage	Traditional kueh maker; single or few outlets; no public data	N
Prospect	Edufarm	0.3	1	T2	Other services	Agri-education startup; no public data	N
Prospect	Ransack SG Pte Ltd	0.3	1	T2	Professional services	Gamification creative agency; incorporated Jun 2021; paid up $60K; at JTC BizHub28	N
Prospect	UPleev	0.3	1	T2	Other services	Startup; no confirmed data found	N
Prospect	Its Bubblin	0.3	1.5	T2	Food & beverage	F&B/experiential business; specific entity unconfirmed	N
Prospect	Dulukala	0.3	0.8	T2	Food & beverage	Single Peranakan cze char stall at Silat Ave kopitiam; family-run; min catering order $80	N
Prospect	Joof Holistic Pet Pte Ltd	0.3	0.8	T2	Consumer retail	Online pet store; incorporated Aug 2023; single outlet at Centropod Changi	N
Prospect	Sim Kim Poh Reflexology Therapy Centre	0.3	0.8	T2	Other services	Single reflexology therapy centre; small	N
Prospect	Paliano Casa SG Pte Ltd	0.2	0.5	T2	Consumer retail	Furniture retail; incorporated May 2025; single showroom at Beauty World Centre	Y
Prospect	Bosses United Hong Kong	0	0	NA	Association	Association/community group; no commercial revenue	N
Prospect	Hong Kong Amateur Football Association	0	0	NA	Association	Amateur sports association; not commercial	N
